,,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,CustomerID,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice,UnitPrice
Quantity,,-624,-480,-288,-250,-240,-200,-192,-144,-120,-100,-96,-86,-72,-60,-54,-48,-40,-36,-33,-32,-27,-25,-24,-21,-20,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,50,52,53,54,56,60,62,64,69,70,72,75,76,78,80,84,89,90,92,94,96,100,108,110,114,117,120,125,128,140,144,147,150,156,160,168,176,180,186,192,200,204,208,216,240,250,256,264,270,272,288,300,320,324,336,360,378,384,400,402,407,408,432,448,480,500,504,576,600,640,648,670,720,768,860,912,960,972,1000,1008,1010,1152,1200,1284,1296,1300,1356,1394,1400,1440,1488,1728,1824,1930,2000,2040,2400,2880,3114,74215,-624,-480,-288,-250,-240,-200,-192,-144,-120,-100,-96,-86,-72,-60,-54,-48,-40,-36,-33,-32,-27,-25,-24,-21,-20,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,50,52,53,54,56,60,62,64,69,70,72,75,76,78,80,84,89,90,92,94,96,100,108,110,114,117,120,125,128,140,144,147,150,156,160,168,176,180,186,192,200,204,208,216,240,250,256,264,270,272,288,300,320,324,336,360,378,384,400,402,407,408,432,448,480,500,504,576,600,640,648,670,720,768,860,912,960,972,1000,1008,1010,1152,1200,1284,1296,1300,1356,1394,1400,1440,1488,1728,1824,1930,2000,2040,2400,2880,3114,74215
InvoiceNo,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536365,CREAM CUPID HEARTS COAT HANGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536365,KNITTED UNION FLAG HOT WATER BOTTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536365,WHITE HANGING HEART T-LIGHT HOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536365,WHITE METAL LANTERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536367,DOORMAT NEW ENGLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536367,RECIPE BOX WITH METAL HEART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536368,BLUE COAT RACK PARIS FASHION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536368,JAM MAKING SET WITH JARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
